id,is_hotel,country,currency,city,opening_hours,good_for_family,accept_credit_card,parking,outdoor_seating,wifi,wheelchair_accessible,price1,price2,lat,lng,locale,cdate
fb1171550a7ad65f5533d24345e7677c5353168d,1,tw,TWD,新北市,0,1,1,1,0,1,1,1100,2200,25.2,121.6,zh_TW,2627
8239c2381e09ba5a298eb9ebefa88de9976105a5,0,tw,TWD,新北市,420,1,1,1,0,1,0,300,400,25.0,121.52,zh_TW,2082
85709eabedeb5c761b424baa16db3bccd6144fd4,1,tw,TWD,台中市,1020,1,1,1,0,1,1,563,736,24.23,120.94,zh_TW,2995
8a035d8ccfaae36efff1cdcc6f02f318f35abd64,1,tw,TWD,台中市,2700,1,1,1,0,1,1,379,564,24.14,120.59,zh_TW,2874
56a3a7c9675c5aca5e98ea3d9aa77610ec04183a,0,tw,TWD,台中市,510,1,1,1,0,1,0,499,1000,24.23,120.94,zh_TW,2458
4f9809dc8d71d5554ee3f7d1dfc103430d61b4e0,1,tw,TWD,台中市,480,1,1,1,0,1,0,380,900,24.23,120.94,zh_TW,2374
7914c82d735fa1e956fc707aab3bf9f0d59875d1,1,tw,TWD,台中市,480,1,1,1,0,1,0,658,856,24.21,120.65,zh_TW,2121
d90b1c08c2b92d5aefa740d07ca61ef2eaa220d1,1,tw,TWD,台北市,690,1,1,1,0,0,0,377,543,25.05,121.53,zh_TW,2248
f03cce918e3b5e7f9c4c2eef892aa732b0c19ddb,1,tw,TWD,台南市,480,1,1,1,0,0,1,506,869,23.04,120.24,zh_TW,2731
ce931af6fd49ce6b1292ccbce4f12f04eac1dfbe,1,tw,TWD,新竹市,840,1,1,1,0,1,1,496,703,24.78,121.02,zh_TW,2991
8f66716b1e27403a7274cbf98cf5782083c9ce9a,1,tw,TWD,新竹市,860,1,1,1,0,1,1,641,864,24.81,120.98,zh_TW,2877
4cb5a42d24713b9dea707e2c07a1e849272c20f5,1,tw,TWD,新竹市,930,1,1,1,0,1,1,500,2000,24.81,120.97,zh_TW,2452
bb974967d1f63edbd841a954413027e9d9bf4903,1,tw,TWD,新竹縣,720,1,1,1,0,1,1,880,1100,24.82,121.03,zh_TW,2587
204269fabcb7d62c7cee6fd1a1663ce7072a6882,1,tw,TWD,桃園縣,300,1,1,1,0,1,1,500,1000,25.02,121.31,zh_TW,2375
